2020-02-23 21:43:04.566 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.QuestionExtMapper.countBySearch    : <==      Total: 1
2020-02-23 21:43:04.566 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.QuestionExtMapper.selectBySearch   : ==>  Preparing: select * from QUESTION order by gmt_create desc limit ?,? 
2020-02-23 21:43:04.567 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.QuestionExtMapper.selectBySearch   : ==> Parameters: 0(Integer), 7(Integer)
2020-02-23 21:43:04.574 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.QuestionExtMapper.selectBySearch   : <==      Total: 7
2020-02-23 21:43:04.574 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==>  Preparing: select ID, ACCOUNT_ID, NAME, TOKEN, GMTCREATE, GMTMODIFIED, BIO, AVATAR_URL from USER where ID = ? 
2020-02-23 21:43:04.575 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==> Parameters: 494(Integer)
2020-02-23 21:43:04.575 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : <==      Total: 1
2020-02-23 21:43:04.583 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==>  Preparing: select ID, ACCOUNT_ID, NAME, TOKEN, GMTCREATE, GMTMODIFIED, BIO, AVATAR_URL from USER where ID = ? 
2020-02-23 21:43:04.583 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==> Parameters: 494(Integer)
2020-02-23 21:43:04.584 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : <==      Total: 1
2020-02-23 21:43:04.585 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==>  Preparing: select ID, ACCOUNT_ID, NAME, TOKEN, GMTCREATE, GMTMODIFIED, BIO, AVATAR_URL from USER where ID = ? 
2020-02-23 21:43:04.585 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==> Parameters: 494(Integer)
2020-02-23 21:43:04.585 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : <==      Total: 1
2020-02-23 21:43:04.585 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==>  Preparing: select ID, ACCOUNT_ID, NAME, TOKEN, GMTCREATE, GMTMODIFIED, BIO, AVATAR_URL from USER where ID = ? 
2020-02-23 21:43:04.585 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==> Parameters: 494(Integer)
2020-02-23 21:43:04.586 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : <==      Total: 1
2020-02-23 21:43:04.586 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==>  Preparing: select ID, ACCOUNT_ID, NAME, TOKEN, GMTCREATE, GMTMODIFIED, BIO, AVATAR_URL from USER where ID = ? 
2020-02-23 21:43:04.586 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==> Parameters: 494(Integer)
2020-02-23 21:43:04.587 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : <==      Total: 1
2020-02-23 21:43:04.587 DEBUG 2372 --- [http-nio-8080-exec-1] c.f.m.UserMapper.selectByPrimaryKey      : ==>  Preparing: select ID, ACCOUNT_ID, NAME, TOKEN, GMTCREATE, GMTMODIFIED, BIO, AVATAR_URL from USER where ID = ? 
